TITULO:
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY
ACIMED
ACTA AGRONOMICA
ACTA AMAZONICA
ACTA BIOETHICA
ACTA BIOLOGICA COLOMBIANA
ACTA BIOQUIMICA CLINICA LATINOAMERICANA
ACTA BOTANICA BRASILICA
ACTA BOTANICA MEXICANA
ACTA CIRURGICA BRASILEIRA
ACTA COLOMBIANA DE PSICOLOGIA
ACTA DE INVESTIGACION PSICOLOGICA
ACTA LITERARIA
ACTA MEDICA COLOMBIANA
ACTA MEDICA COSTARRICENSE
ACTA MEDICA PERUANA
ACTA NEUROLOGICA COLOMBIANA
ACTA ODONTOLOGICA VENEZOLANA
ACTA ORTOPEDICA BRASILEIRA
ACTA PAULISTA DE ENFERMAGEM
ACTA SCIENTIARUM-AGRONOMY
ACTA SCIENTIARUM-ANIMAL SCIENCES
ACTA THEOLOGICA
ACTA TOXICOLOGICA ARGENTINA
ACTA ZOOLOGICA MEXICANA-NUEVA SERIE
ACTUALIDADES BIOLOGICAS
AFRICAN HUMAN RIGHTS LAW JOURNAL
AFRO-ASIA
AGORA
AGORA USB
AGRISCIENTIA
AGROALIMENTARIA
AGROCIENCIA
AGRONOMIA COLOMBIANA
AGRONOMIA COSTARRICENSE
AGRONOMIA MESOAMERICANA
AGRONOMIA TROPICAL
ALEA-ESTUDOS NEOLATINOS
ALFA-REVISTA DE LINGUISTICA
ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA
AMERICA LATINA EN LA HISTORIA ECONOMICA
ANAGRAMAS-RUMBOS Y SENTIDOS DA LA COMUNICACION
ANAIS BRASILEIROS DE DERMATOLOGIA
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS
ANAIS DO MUSEU PAULISTA-HISTORIA E CULTURA MATERIAL
ANALES DE LA FACULTAD DE MEDICINA
ANALES DE PSICOLOGIA
ANALES DEL INSTITUTO DE LA PATAGONIA
ANALISE PSICOLOGICA
ANALISE SOCIAL
ANALISIS POLITICO
ANCLAJES
ANDEAN GEOLOGY
ANGIOLOGIA E CIRURGIA VASCULAR
ANTIPODA-REVISTA DE ANTROPOLOGIA Y ARQUEOLOGIA
ANUARIO COLOMBIANO DE HISTORIA SOCIAL Y DE LA CULTURA
AQUICHAN
ARCHIVES OF CLINICAL PSYCHIATRY
ARCHIVES OF ENDOCRINOLOGY METABOLISM
ARCHIVOS ARGENTINOS DE PEDIATRIA
ARCHIVOS DE CARDIOLOGIA DE MEXICO
ARCHIVOS DE MEDICINA VETERINARIA
ARCHIVOS DE ZOOTECNIA
ARCHIVOS LATINOAMERICANOS DE NUTRICION
ARETE
ARGOS-ARGENTINA
ARQ
ARQUITECTURA Y URBANISMO
ATENEA
ATMOSFERA
AUDIOLOGY-COMMUNICATION RESEARCH
AVALIACAO-REVISTA DE AVALIACAO DA EDUCACAO SUPERIOR
AVANCES EN ENFERMERIA
AVANCES EN ODONTOESTOMATOLOGIA
AVANCES EN PERIODONCIA E IMPLANTOLOGIA ORAL
AVANCES EN PSICOLOGIA LATINOAMERICANA
BAG-JOURNAL OF BASIC AND APPLIED GENETICS
BAKHTINIANA-REVISTA DE ESTUDOS DO DISCURSO
BIOAGRO
BIOLOGICAL RESEARCH
BIOMEDICA
BIOTA NEOTROPICA
BIOTECNOLOGIA APLICADA
BIOTECNOLOGIA EN EL SECTOR AGROPECUARIO Y AGROINDUSTRIAL
BOLEMA-MATHEMATICS EDUCATION BULLETIN-BOLETIM DE EDUCACAO MATEMATICA
BOLETIM DE CIENCIAS GEODESICAS
BOLETIM DO MUSEU PARAENSE EMILIO GOELDI-CIENCIAS HUMANAS
BOLETIN CIENTIFICO MUSEO DE HISTORIA NATURAL UNIVERSIDAD DE CALDAS
BOLETIN DE CIENCIAS DE LA TIERRA
BOLETIN DE FILOLOGIA
BOLETIN DE GEOLOGIA
BOLETIN DE INVESTIGACIONES MARINAS Y COSTERAS
BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA
BOLETIN DE LA SOCIEDAD GEOLOGICA MEXICANA
BOLETIN DE LINGUISTICA
BOLETIN DE MALARIOLOGIA Y SALUD AMBIENTAL
BOLETIN DEL INSTITUTO DE HISTORIA ARGENTINA Y AMERICANA DR EMILIO RAVIGNANI
BOLETIN DEL MUSEO CHILENO DE ARTE PRECOLOMBINO
BOLETIN MEXICANO DE DERECHO COMPARADO
BOSQUE
BOTANICAL SCIENCES
BRAGANTIA
BRAZILIAN ADMINISTRATION REVIEW
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY
BRAZILIAN DENTAL JOURNAL
BRAZILIAN JOURNAL OF BIOLOGY
BRAZILIAN JOURNAL OF BOTANY
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING
BRAZILIAN JOURNAL OF FOOD TECHNOLOGY
BRAZILIAN JOURNAL OF INFECTIOUS DISEASES
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH
BRAZILIAN JOURNAL OF MICROBIOLOGY
BRAZILIAN JOURNAL OF OCEANOGRAPHY
BRAZILIAN JOURNAL OF ORAL SCIENCES
BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY
BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES
BRAZILIAN JOURNAL OF PHYSICAL THERAPY
BRAZILIAN JOURNAL OF POULTRY SCIENCE
BRAZILIAN ORAL RESEARCH
BRAZILIAN POLITICAL SCIENCE REVIEW
BULLETIN OF THE WORLD HEALTH ORGANIZATION
CADERNO CRH
CADERNOS CEDES
CADERNOS DE ESTUDOS AFRICANOS
CADERNOS DE PESQUISA
CADERNOS DE SAUDE PUBLICA
CALDASIA
CALIDAD EN LA EDUCACION
CERAMICA
CERNE
CES MEDICINA
CES MEDICINA VETERINARIA Y ZOOTECNIA
CES ODONTOLOGIA
CHILEAN JOURNAL OF AGRICULTURAL RESEARCH
CICLOS EN LA HISTORIA LA ECONOMIA Y LA SOCIEDAD
CIENCIA & EDUCACAO
CIENCIA & TRABAJO
CIENCIA ANIMAL BRASILEIRA
CIENCIA DEL SUELO
CIENCIA DOCENCIA Y TECNOLOGIA
CIENCIA E AGROTECNOLOGIA
CIENCIA E INGENIERIA NEOGRANADINA
CIENCIA E INVESTIGACION AGRARIA
CIENCIA RURAL
CIENCIA Y ENFERMERIA
CIENCIAS MARINAS
CINTA DE MOEBIO
CIRCE DE CLASICOS Y MODERNOS
CIVILIZAR CIENCIAS SOCIALES Y HUMANAS
CLINICA Y SALUD
CLINICS
CODAS
CO-HERENCIA
COLOMBIA FORESTAL
COLOMBIA MEDICA
COLUNA-COLUMNA
COMPUTACION Y SISTEMAS
COMPUTATIONAL & APPLIED MATHEMATICS
COMUNICACION Y SOCIEDAD-GUADALAJARA
CONTADURIA Y ADMINISTRACION
CONTEXTO INTERNACIONAL
CONVERGENCIA-REVISTA DE CIENCIAS SOCIALES
CORREO CIENTIFICO MEDICO
CORROSAO E PROTECCAO DE MATERIAS
CROP BREEDING AND APPLIED BIOTECHNOLOGY
CT&F-CIENCIA TECNOLOGIA Y FUTURO
CUADERNO URBANO
CUADERNOS DE ADMINISTRACION
CUADERNOS DE ADMINISTRACION-UNIVERSIDAD DEL VALLE
CUADERNOS DE ANTROPOLOGIA SOCIAL
CUADERNOS DE CONTABILIDAD
CUADERNOS DE DESARROLLO RURAL
CUADERNOS DE ECONOMIA
CUADERNOS DE GEOGRAFIA-REVISTA COLOMBIANA DE GEOGRAFIA
CUADERNOS DE HERPETOLOGIA
CUADERNOS DE HISTORIA-SANTIAGO
CUADERNOS DE MEDICINA FORENSE
CUADERNOS DE PSICOLOGIA DEL DEPORTE
CUADERNOS DEL CENDES
CUADERNOS DEL CENTRO DE ESTUDIOS EN DISENO Y COMUNICACION ENSAYOS
CUADERNOS DEL CILHA
CUADERNOS INFO
CUBO-TEMUCO
CUESTIONES TEOLOGICAS
CULTIVOS TROPICALES
CULTURA Y REPRESENTACIONES SOCIALES
CURATIONIS
DADOS-REVISTA DE CIENCIAS SOCIAIS
DELTA-DOCUMENTACAO DE ESTUDOS EM LINGUISTICA TEORICA E APLICADA
DESARROLLO Y SOCIEDAD
DIALOGO ANDINO
DIALOGOS-REVISTA ELECTRONICA DE HISTORIA
DISCUSIONES FILOSOFICAS
DIVERSITAS-PERSPECTIVAS EN PSICOLOGIA
DYNA
DYNAMIS
ECONOMIA APLICADA
ECONOMIA E SOCIEDADE-BRAZIL
ECONOMIA UNAM
ECOS DE ECONOMIA
EDUCACAO & REALIDADE
EDUCACAO & SOCIEDADE
EDUCACAO E PESQUISA
EDUCACAO EM REVISTA
EDUCACION  SUPERIOR
EDUCACION MEDICA SUPERIOR
EDUCACION Y EDUCADORES
EDUCAR EM REVISTA
EDUCERE
EDUMECENTRO
EIDOS
E-JOURNAL OF PORTUGUESE HISTORY
ELECTRONIC JOURNAL OF BIOTECHNOLOGY
ENFERMERIA GLOBAL
ENFERMERIA NEFROLOGICA
ENFERMERIA UNIVERSITARIA
ENFOQUES
ENGENHARIA AGRICOLA
ENGENHARIA SANITARIA E AMBIENTAL
ENLACE-REVISTA VENEZOLANA DE INFORMACION TECNOLOGIA Y CONOCIMIENTO
ENSAIO-AVALIACAO E POLITICAS PUBLICAS EM EDUCACAO
ENTRAMADO
EPISTEME NS
ESCOLA ANNA NERY
ESCRITOS
ESCRITOS DE PSICOLOGIA
ESTUDIOS ATACAMENOS
ESTUDIOS CONSTITUCIONALES
ESTUDIOS DE CULTURA MAYA
ESTUDIOS DE ECONOMIA
ESTUDIOS DE FILOSOFIA
ESTUDIOS DE HISTORIA MODERNA Y CONTEMPORANEA DE MEXICO
ESTUDIOS FILOLOGICOS
ESTUDIOS GERENCIALES
ESTUDIOS INTERNACIONALES
ESTUDIOS PEDAGOGICOS
ESTUDIOS POLITICOS
ESTUDIOS POLITICOS MEXICO
ESTUDIOS SOCIALES
ESTUDIOS Y PERSPECTIVAS EN TURISMO
ESTUDOS AVANCADOS
ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORANEA
ESTUDOS DE PSICOLOGIA
ESTUDOS DE PSICOLOGIA-NATAL
ESTUDOS ECONOMICOS
ESTUDOS FEMINISTAS
ESTUDOS HISTORICOS
ETNOGRAFICA
EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES
EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT
EX AEQUO
FARMACIA HOSPITALARIA
FEM-REVISTA DE LA FUNDACION EDUCACION
FEM-REVISTA DE LA FUNDACION EDUCACION MEDICA
FISIOTERAPIA E PESQUISA
FISIOTERAPIA EM MOVIMENTO
FLORESTA E AMBIENTE
FOLIOS
FOOD SCIENCE AND TECHNOLOGY
FORMACION UNIVERSITARIA
FRACTAL-REVISTA DE PSICOLOGIA
FRANCISCANUM
