TITULO:,CATÁLOGO
CENTRO DE INVESTIGACIÓN Y ESTUDIOS SUPERIORES EN ANTROPOLOGÍA SOCIAL (CIESAS),CIESAS
COLEGIO DE LA FRONTERA NORTE,Colegio de la Frontera Norte
COLEGIO MICHOACANO,Colegio Michoacano
INSTITUTO DE INVESTIGACIONES HISTÓRICAS (IIH),Instituto de Investigaciones Históricas (IIH)
"INSTITUTO DE INVESTIGACIONES DOCTOR JOSÉ MARÍA LUIS MORA,",Instituto Mora
UNIVERSIDAD VERACRUZANA,Universidad Veracruzana
